,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times,lon x lat,time x lon x lat
64,5136,10,100,55.55156730000009,37.04003033041954,1626.15380859375,928.0,3580.1379310344832,1000,5136000,830592.0,15923.045420561248,0.0019578250315362,23828.23543327976,10x100,5136x10x100
60,5136,100,10,56.744928317625,38.447466135025024,1605.7666015625,876.0,3792.657534246575,1000,5136000,830592.0,14977.988888120652,0.001933279638574,22729.123323591928,100x10,5136x100x10
54,48,10,100,92.81677315,117.59585505723952,589.431640625,928.0,3580.1379310344832,1000,48000,830592.0,89653.03599033784,0.0007096524414212,77003.83198182553,10x100,48x10x100
32,2160,100,10,32.91455203225,23.38076469302177,1001.67626953125,876.0,3792.657534246575,1000,2160000,830592.0,28694.15145811898,0.0012059787110052,39018.5050018001,100x10,2160x100x10
82,720,10,100,25.67506618125,23.90667948126793,1373.59130859375,928.0,3580.1379310344832,1000,720000,830592.0,53508.71130286187,0.0016537497454752,55173.90942773304,10x100,720x10x100
36,2160,10,100,26.67759511124968,17.410789996385574,1087.00830078125,928.0,3580.1379310344832,1000,2160000,830592.0,35273.94656901578,0.0013087151101638,51416.75520281041,10x100,2160x10x100
4,120,10,100,49.330112194625,52.023599445819855,638.63037109375,928.0,3580.1379310344832,1000,120000,830592.0,82843.47925691996,0.0007688857719478,78184.92635508947,10x100,120x10x100
50,48,100,10,78.91587316387496,116.42728379368782,413.39501953125,876.0,3792.657534246575,1000,48000,830592.0,81859.39064806167,0.0004977112945119,74548.03205544181,100x10,48x100x10
41,24,100,10,127.98298939387509,151.43308171629906,530.3994140625,876.0,3792.657534246575,1000,24000,830592.0,72951.03543086587,0.0006385799695428,69345.52795647597,100x10,24x100x10
72,6,10,100,518.4511165844999,644.4174063205719,1279.2275390625,928.0,3580.1379310344832,1000,6000,830592.0,43677.79801034223,0.0015401394897404,34915.83604103315,10x100,6x10x100
78,720,100,10,24.81620473075,19.54995208978653,620.93994140625,876.0,3792.657534246575,1000,720000,830592.0,50833.665307634496,0.000747587192516,57219.91048291678,100x10,720x100x10
9,120,50,50,24.13907256887504,22.61666923761368,472.9853515625,360.0,9228.8,2500,300000,830592.0,139121.98018996842,0.0005694557033567,146749.50554547604,50x50,120x50x50
27,1440,50,50,28.072965219750003,23.85220092535019,1384.22314453125,360.0,9228.8,2500,3600000,830592.0,40433.29678857479,0.0016665500565033,46270.36351742928,50x50,1440x50x50
18,12,50,50,146.533554269375,139.90344005823135,452.57861328125,360.0,9228.8,2500,30000,830592.0,136291.25386975062,0.0005448867955401,126550.44864047672,50x50,12x50x50
40,2160,50,50,25.91137947450004,16.011426210403442,1732.35986328125,360.0,9228.8,2500,5400000,830592.0,35618.143925674056,0.0020856929314046,54685.2648674753,50x50,2160x50x50
68,5136,50,50,58.73636758887498,34.23969238996506,1598.09521484375,360.0,9228.8,2500,12840000,830592.0,14685.920782364414,0.0019240435916114,25516.937049112777,50x50,5136x50x50
59,48,50,50,37.31112659462495,48.78665670752526,414.158203125,360.0,9228.8,2500,120000,830592.0,167576.5428067552,0.0004986301374501,169764.9139067777,50x50,48x50x50
49,24,50,50,59.06339923599997,97.09557285904884,406.14306640625,360.0,9228.8,2500,60000,830592.0,150539.4756891539,0.0004889802290489,156597.7205466966,50x50,24x50x50
77,6,50,50,186.4929570813749,232.75207477808,635.9853515625,360.0,9228.8,2500,15000,830592.0,95979.04338737618,0.0007657012727819,91594.78392710234,50x50,6x50x50
86,720,50,50,20.08506397575001,12.766354262828829,795.4697265625,360.0,9228.8,2500,1800000,830592.0,72339.08673521748,0.0009577141684033,92137.20284580262,50x50,720x50x50
34,2160,100,50,27.99578341624984,13.505830198526382,1549.27001953125,180.0,18457.6,5000,10800000,830592.0,34403.30890667722,0.0018652599826765,65504.98102163133,100x50,2160x100x50
39,2160,50,100,28.63659948774989,13.661323755979538,1237.1201171875,192.0,17304.0,5000,10800000,830592.0,33131.05654916198,0.0014894438149988,65674.81321331512,50x100,2160x50x100
